,Unnamed: 0,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Distance,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Distance (km),Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
621,,ELEC,Cache Creek Visitor Information Centre - Tesla Supercharger,1270 Stage Road,,Cache Creek,BC,V0K 1H0,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,50.811028,-121.325075,2024-07-01,200533,0.01061,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.01708,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
629,,ELEC,Prosperity Ridge - Tesla Supercharger,1185 Prosperity Way,,Williams Lake,BC,V2G 0A6,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.112878,-122.125087,2024-07-01,200556,0.83563,2024-08-14 18:58:22 UTC,P,,,2021-11-04,,,,,TESLA,CA,1.34482,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
638,,ELEC,"Quesnel, BC - Tesla Supercharger",775 Rita Rd,,Quesnel,BC,V2J 0C2,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.966834,-122.440384,2024-07-01,200527,0.08629,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.13887,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
711,,ELEC,McBride Petro-Canada - Tesla Supercharger,795 Bridge Rd,,McBride,BC,V0J 2E0,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,53.305057,-120.160885,2024-07-01,347601,0.05581,2024-08-14 18:58:22 UTC,P,,,2024-06-05,,,,,TESLA,CA,0.08982,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
757,,ELEC,Southgate Centre - Tesla Supercharger,5015 111 St NW,,Edmonton,AB,T6H 4M6,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,200-9,53.486557,-113.515102,2024-07-01,122320,0.86431,2024-08-14 18:58:22 UTC,P,,,2019-03-01,,,,,TESLA,CA,1.39097,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
784,,ELEC,179 Leva Ave - Tesla Supercharger,179 Leva Avenue,,Red Deer County,AB,T4E 1B9,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,52.216416,-113.815797,2024-07-01,153427,0.06526,2024-08-14 18:58:22 UTC,P,,,2020-01-31,,,,,TESLA,CA,0.10503,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
798,,ELEC,Crosslron Mills - Tesla Supercharger,261055 Crossiron Blvd,,Rocky View,AB,T4A 0G3,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.204042,-113.989658,2024-07-01,122263,0.53639,2024-08-14 18:58:22 UTC,P,,,2019-03-01,,,,,TESLA,CA,0.86324,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
1219,,ELEC,1702 Bow Valley Trail - Tesla Supercharger,1702 Bow Valley Trail,,Canmore,AB,T1W 1N5,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,8.0,,Tesla,https://www.tesla.com/supercharger,GPS,51.09656,-115.35776,2024-07-01,200551,0.18153,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.29214,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
12,323.0,ELEC,Boston Pizza - Tesla Supercharger,4523 4 Avenue,,Edson,AB,T7E 1C3,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,6.0,,Tesla,https://www.tesla.com/supercharger,GPS,53.58557,-116.420913,2024-07-01,200528,0.07845,2024-08-14 18:58:22 UTC,P,,,2021-10-11,,,,,TESLA,CA,0.12625,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
350,,ELEC,"Save-On-Foods / Fast Gas (Red Deer, AB)",6720 52nd Avenue,,Red Deer,AB,T4N 4K9,,833-231-3226,E,,Public,24 hours daily,,,,,,,6.0,,Electrify Canada,https://www.electrify-canada.ca/,GPS,52.289,-113.81809,2024-12-07,318048,0.87137,2024-12-07 10:09:22 UTC,,,,2023-11-10,,,,,J1772COMBO,CA,1.40233,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
654,,ELEC,River Point Landing - Tesla Supercharger,3036 Recplace Drive,,Prince George,BC,V2N 0G2,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,6.0,,Tesla,https://www.tesla.com/supercharger,GPS,53.890585,-122.767819,2024-07-01,201345,0.76208,2024-08-14 18:58:22 UTC,P,,,2021-11-18,,,,,TESLA,CA,1.22645,,Accessible 24 heures par jour. Veuillez consulter la carte des stations de recharge en ligne de Tesla pour voir si un adaptateur est requis à cet endroit.,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
13,159.0,ELEC,On the Run EV Fast Charge,9450 200 St,,Langley Twp,BC,V1M 3A6,,604-513-8634,E,,Public,24 hours daily,A M V,,,,,,4.0,,ON_THE_RUN_EV,https://www.ontherunstores.com/ev-charging,GPS,49.1743526018187,-122.665851219137,2024-08-15,257066,0.7001,2024-08-15 13:50:48 UTC,P,,,2022-12-22,,,,,CHADEMO J1772COMBO,CA,1.1267,,24 heures par jour,,Public,,public,,,GAS_STATION,,,,,,,Price per kWh,Prix du kWh,,,,,,,,,False,,,,,,,,LD,False,
617,,ELEC,BC Hydro - Lytton - Skuppa Rest Area,Trans-Canada Hwy,,Lytton,BC,V0K 1Z0,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,4.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,50.1794676,-121.5717557,2024-12-07,357728,0.02205,2024-12-07 12:28:31 UTC,,,,2024-10-09,,,,,CHADEMO J1772COMBO,CA,0.03549,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
790,,ELEC,"7Charge - Crossfield, AB 38821",283188 Range Rd 293,,Crossfield,AB,T0M 0S0,,844-711-2474,E,,Public,24 hours daily,,,,,,,4.0,,7CHARGE,https://www.7-eleven.com/7charge,200-8,51.413432884788,-114.001000299377,,367604,0.04892,2024-11-20 20:36:46 UTC,P,,,2024-10-23,,,,,CHADEMO J1772COMBO,CA,0.07873,,24 heures par jour,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
14,66.0,ELEC,Vancouver - Grandview,2830 Bentall St,,Vancouver,BC,V5M 4H4,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,3.0,,FLO,https://flo.ca/,GPS,49.25966,-123.03106,2024-12-07,200760,0.10018,2024-12-07 11:14:53 UTC,,,,2021-11-09,,,,,CHADEMO J1772 J1772COMBO,CA,0.16122,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
15,303.0,ELEC,Little Fort Rest Area,9916 Bean Rd,,Little Fort,BC,V0E 2C0,,250-387-3198,E,,Public,24 hours daily,,,,,,1.0,2.0,,Non-Networked,,GPS,51.4277642587847,-120.202746433777,2024-07-11,123576,0.03329,2024-12-03 16:36:52 UTC,P,,,2019-06-05,,,,,CHADEMO J1772 J1772COMBO,CA,0.05358,,24 heures par jour,,Public,,public,,,REST_STOP,,,,,,,Free,Gratuit,,,,,,,,,False,,,,,,,,,False,
16,313.0,ELEC,Mt Terry Fox Rest Area,Mt Terry Fox rest area Highway 16,,Tete Jaune Cache,BC,V0E 1E0,,888-356-8911,E,,Public,24 hours daily,,,,,,1.0,2.0,,FLO,https://flo.ca/,GPS,52.980227,-119.320209,2024-12-07,250782,0.00103,2024-12-07 11:15:04 UTC,,,,2023-01-16,,,,,CHADEMO J1772 J1772COMBO,CA,0.00166,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
17,261.0,ELEC,BC Hydro - Britton Creek - Rest Area,Exit 228 Coquihalla Lakes Rd,,Fraser Valley B,BC,V0X 1L0,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,2.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,49.651679,-121.001113,2024-12-07,257281,0.1266,2024-12-07 12:28:16 UTC,,,,2020-11-05,,,,,CHADEMO J1772COMBO,CA,0.20374,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
18,306.0,ELEC,Wire Cache,4334 S Yellowhead Hwy,,Thompson-Nicola B,BC,V0E 1C0,,888-356-8911,E,,Public,24 hours daily,,,,,,,2.0,,FLO,https://flo.ca/,GPS,51.684951,-119.42093,2024-12-07,367815,0.02767,2024-12-07 11:29:13 UTC,,,,2024-11-09,,,,,CHADEMO J1772COMBO,CA,0.04453,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
19,307.0,ELEC,BC Hydro - Blue River - Petro Canada,883 Hwy 5 & Shell Rd,,Blue River,BC,V0E 1J0,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,2.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,52.109652,-119.310203,2024-12-07,147373,0.06506,2024-12-07 12:28:18 UTC,,,,2019-10-28,,,,,CHADEMO J1772COMBO,CA,0.1047,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
615,,ELEC,BC Hydro - Boston Bar - Canyon Lanes,47585 BC-1,,Fraser Valley A,BC,V0X,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,2.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,49.8602003090135,-121.440151520238,2024-12-07,257280,0.03168,2024-12-07 12:28:16 UTC,,,,2020-11-05,,,,,CHADEMO J1772COMBO,CA,0.05098,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
623,,ELEC,BC Hydro - Clinton - Village Office,1423 Highway 97,,Clinton,BC,V0K 1K0,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,2.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,51.091893,-121.586585,2024-12-07,140000,0.00533,2024-12-07 12:28:20 UTC,,,,2019-07-01,,,,,CHADEMO J1772COMBO,CA,0.00858,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
624,,ELEC,BC Hydro - 70 Mile House - Canada Post,1597 BC-97,,70 Mile House,BC,V0K 2K0,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,2.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,51.30481,-121.396781,2024-12-07,139999,0.03494,2024-12-07 12:28:21 UTC,,,,2019-08-01,,,,,CHADEMO J1772COMBO,CA,0.05623,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
625,,ELEC,South Cariboo Visitor Centre,155 Wrangler Way,,100 Mile House,BC,V0K 2E0,,250-395-5353,E,,Public - Card key at all times,24 hours daily,A D Debit M V,,,,,,2.0,,Non-Networked,,GPS,51.6414924957355,-121.297813356253,2024-07-11,236267,0.0114,2024-12-03 15:30:14 UTC,P,,,2022-11-17,,,,,CHADEMO J1772COMBO,CA,0.01835,,24 heures par jour,,Public - Carte-clé en tout temps,,public,KEY_ALWAYS,,TRAVEL_CENTER,,,,,,,Free,Gratuit,,,,,,,,,False,,,,,,,,LD,False,
635,,ELEC,Australian Rest Area,Cariboo Hwy at Windt Rd,,Cariboo A,BC,V0K 2E0,,,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,2.0,,Non-Networked,,GPS,52.710543755583,-122.45771517899,2023-10-12,236268,0.05391,2024-12-02 18:50:33 UTC,P,,,2022-11-17,,,,,CHADEMO J1772COMBO,CA,0.08676,,24 heures par jour,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,TRAVEL_CENTER,,,,,,,Free,Gratuit,,,,,,,,,False,,,,,,,,LD,False,
643,,ELEC,BC Hydro - Hixon - Tempo Gas Bar,39126 HWY 97 S,,Hixon,BC,V0K 1S0,,1-866-338-3369,E,,Public,24 hours daily,,,,,,,2.0,,BCHYDRO,https://www.bchydro.com/powersmart/electric-vehicles/charging/bc-hydro-ev-network.html,GPS,53.4197,-122.585,2024-12-07,153625,0.01218,2024-12-07 12:28:09 UTC,,,,2020-01-01,,,,,CHADEMO J1772COMBO,CA,0.0196,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,False,
716,,ELEC,Slim Creek Rest Area,BC-16,,Fraser-Fort-George,BC,V0J 2K0,,,E,,Public - Credit card at all times,24 hours daily,A D Debit M V,,,,,,2.0,,Non-Networked,,GPS,53.7263495253404,-121.143964855984,2022-06-10,218907,0.02927,2024-12-02 19:48:34 UTC,P,,,2022-05-18,,,,,CHADEMO J1772COMBO,CA,0.04711,,Accessible 24 heures par jour,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,REST_STOP,,,,,,,,,,,,,,,,,False,,,,,,,,LD,False,
778,,ELEC,City of Leduc – Downtown (level 3),4820 - 49 Avenue,,Leduc,AB,T9E 6X5,,888-356-8911,E,,Public,24 hours daily,,,,,,,2.0,,FLO,https://flo.ca/,GPS,53.264185,-113.550057,2024-12-07,234656,0.57829,2024-12-07 11:21:21 UTC,,,,2022-10-19,,,,,CHADEMO J1772COMBO,CA,0.93067,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
788,,ELEC,Sun Market Suites,2402 20 Ave.,,Bowden,AB,T0M 0K0,,866-816-7584,E,,Public,24 hours daily,,,,,,,2.0,,EV Connect,http://evconnect.com/,GPS,51.934188,-114.026185,2024-12-07,253458,0.03345,2024-12-07 10:27:31 UTC,,,,2023-02-07,,,,,CHADEMO J1772COMBO,CA,0.05383,,Accessible 24 heures par jour,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
